  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.361444682466e-02  ,1.757817376319e-07  ,1.000000000000e-01  ,3.892118122161e-02  
  1.364583136589e-02  ,1.761869511279e-07  ,1.000000000000e-01  ,3.901090244595e-02  
  1.367728825596e-02  ,1.765930986963e-07  ,1.000000000000e-01  ,3.910083048961e-02  
  1.370881766165e-02  ,1.770001824953e-07  ,1.000000000000e-01  ,3.919096582930e-02  
  1.374041975013e-02  ,1.774082046762e-07  ,1.000000000000e-01  ,3.928130894282e-02  
  1.377209468894e-02  ,1.778171674213e-07  ,1.000000000000e-01  ,3.937186030906e-02  
  1.380384264603e-02  ,1.782270728751e-07  ,1.000000000000e-01  ,3.946262040804e-02  
  1.383566378972e-02  ,1.786379232233e-07  ,1.000000000000e-01  ,3.955358972087e-02  
  1.386755828872e-02  ,1.790497206382e-07  ,1.000000000000e-01  ,3.964476872975e-02  
  1.389952631213e-02  ,1.794624673193e-07  ,1.000000000000e-01  ,3.973615791804e-02  
  1.393156802945e-02  ,1.798761654285e-07  ,1.000000000000e-01  ,3.982775777016e-02  
  1.396368361056e-02  ,1.802908171759e-07  ,1.000000000000e-01  ,3.991956877168e-02  
  1.399587322573e-02  ,1.807064247579e-07  ,1.000000000000e-01  ,4.001159140929e-02  
  1.402813704562e-02  ,1.811229903847e-07  ,1.000000000000e-01  ,4.010382617078e-02  
  1.406047524130e-02  ,1.815405162283e-07  ,1.000000000000e-01  ,4.019627354507e-02  
  1.409288798422e-02  ,1.819590045440e-07  ,1.000000000000e-01  ,4.028893402223e-02  
  1.412537544623e-02  ,1.823784575422e-07  ,1.000000000000e-01  ,4.038180809342e-02  
  1.415793779957e-02  ,1.827988774191e-07  ,1.000000000000e-01  ,4.047489625097e-02  
  1.419057521689e-02  ,1.832202664335e-07  ,1.000000000000e-01  ,4.056819898832e-02  
  1.422328787123e-02  ,1.836426268096e-07  ,1.000000000000e-01  ,4.066171680005e-02  
  1.425607593602e-02  ,1.840659607818e-07  ,1.000000000000e-01  ,4.075545018190e-02  
  1.428893958511e-02  ,1.844902705985e-07  ,1.000000000000e-01  ,4.084939963072e-02  
  1.432187899274e-02  ,1.849155585221e-07  ,1.000000000000e-01  ,4.094356564452e-02  
  1.435489433354e-02  ,1.853418267801e-07  ,1.000000000000e-01  ,4.103794872247e-02  
  1.438798578256e-02  ,1.857690776487e-07  ,1.000000000000e-01  ,4.113254936488e-02  
  1.442115351525e-02  ,1.861973133900e-07  ,1.000000000000e-01  ,4.122736807320e-02  
  1.445439770746e-02  ,1.866265362734e-07  ,1.000000000000e-01  ,4.132240535005e-02  
  1.448771853545e-02  ,1.870567485646e-07  ,1.000000000000e-01  ,4.141766169921e-02  
  1.452111617588e-02  ,1.874879525606e-07  ,1.000000000000e-01  ,4.151313762561e-02  
  1.455459080582e-02  ,1.879201505514e-07  ,1.000000000000e-01  ,4.160883363535e-02  
  1.458814260275e-02  ,1.883533448027e-07  ,1.000000000000e-01  ,4.170475023571e-02  
  1.462177174457e-02  ,1.887875376325e-07  ,1.000000000000e-01  ,4.180088793510e-02  
  1.465547840956e-02  ,1.892227313306e-07  ,1.000000000000e-01  ,4.189724724314e-02  
  1.468926277644e-02  ,1.896589282149e-07  ,1.000000000000e-01  ,4.199382867061e-02  
  1.472312502433e-02  ,1.900961305928e-07  ,1.000000000000e-01  ,4.209063272947e-02  
  1.475706533276e-02  ,1.905343407647e-07  ,1.000000000000e-01  ,4.218765993285e-02  
  1.479108388168e-02  ,1.909735610936e-07  ,1.000000000000e-01  ,4.228491079507e-02  
  1.482518085146e-02  ,1.914137938695e-07  ,1.000000000000e-01  ,4.238238583163e-02  
