#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 21:21:37.717
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.26429 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 MHz
#Period: 1 us
#Amplitude: 20 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
2.638767441860465e-05,3.241773942479055,3.264259392502585
2.639767441860465e-05,3.242447401148755,3.263578709148142
2.640767441860465e-05,3.263661349244299,3.264259392502585
2.641767441860465e-05,3.282181462661043,3.266301442565913
2.642767441860465e-05,3.286558944014092,3.264940075857028
2.643767441860465e-05,3.264671537248848,3.26562075921147
2.644767441860465e-05,3.242110671813906,3.265961100888692
2.645767441860465e-05,3.243120859818455,3.266641784243134
2.646767441860465e-05,3.261640973235199,3.26562075921147
2.647767441860465e-05,3.284538568004992,3.26562075921147
2.648767441860465e-05,3.287232402683792,3.26562075921147
2.649767441860465e-05,3.266018454588248,3.26562075921147
2.650767441860465e-05,3.245141235827555,3.265961100888692
2.651767441860465e-05,3.243120859818455,3.264599734179806
2.652767441860465e-05,3.261977702570049,3.263919050825363
2.653767441860465e-05,3.283191650665593,3.264940075857028
2.654767441860465e-05,3.283865109335292,3.26562075921147
2.655767441860465e-05,3.266018454588248,3.266982125920355
2.656767441860465e-05,3.245141235827555,3.264940075857028
2.657767441860465e-05,3.242784130483605,3.264599734179806
2.658767441860465e-05,3.262651161239749,3.264599734179806
2.659767441860465e-05,3.280161086651944,3.263919050825363
2.660767441860465e-05,3.283865109335292,3.266301442565913
2.661767441860465e-05,3.267028642592798,3.264940075857028
2.662767441860465e-05,3.246488153166954,3.26562075921147
2.663767441860465e-05,3.242110671813906,3.264940075857028
2.664767441860465e-05,3.261977702570049,3.265280417534249
2.665767441860465e-05,3.279150898647394,3.265280417534249
2.666767441860465e-05,3.283191650665593,3.266301442565913
2.667767441860465e-05,3.269049018601897,3.26562075921147
2.668767441860465e-05,3.247835070506354,3.265280417534249
2.669767441860465e-05,3.243457589153305,3.264940075857028
2.670767441860465e-05,3.2602940558958,3.264940075857028
2.671767441860465e-05,3.279487627982244,3.266301442565913
2.672767441860465e-05,3.285212026674692,3.266301442565913
2.673767441860465e-05,3.270395935941297,3.266641784243134
2.674767441860465e-05,3.245477965162404,3.265280417534249
2.675767441860465e-05,3.245141235827555,3.264259392502585
2.676767441860465e-05,3.2602940558958,3.266301442565913
2.677767441860465e-05,3.278140710642844,3.265280417534249
2.678767441860465e-05,3.285212026674692,3.26562075921147
2.679767441860465e-05,3.268712289267047,3.264940075857028
2.680767441860465e-05,3.246151423832104,3.265961100888692
2.681767441860465e-05,3.243457589153305,3.264599734179806
2.682767441860465e-05,3.26063078523065,3.264259392502585
2.683767441860465e-05,3.279824357317094,3.265280417534249
